Cameras as of 2025-05-05,,,,,,,,,,,
Server Name,Device Name,IP Address,Model,MAC Address,switch/port,Firmware Version,Serial Number,Bitrate,Resolution,Quality,Image Rate
Byng Campus West NVR (202),"Construction Trades Ext NW, view 3 (202.33)",10.10.202.33,24C-H4A-3MH-270,00:18:85:36:40:3F,,4.36.0.26(fe36bbcb),1.02105E+11,6992,3840x2160,6,12
Byng Campus West NVR (202),Construction Trades Shop (202.34),10.10.202.34,8.0C-H5A-FE-DO1-IR,00:18:85:35:38:30,,4.86.0.22(665d8b48),1.02103E+11,5928,2048x2048,6,30
Byng Campus West NVR (202),ISD Ext NE (202.40) (3 views),10.10.202.40,24C-H4A-3MH-180,00:18:85:36:44:DC,,4.36.0.26(fe36bbcb),1.02105E+11,,,,
Byng Campus West NVR (202),"ISD Ext NE, view 3 (202.40)",10.10.202.40,24C-H4A-3MH-180,00:18:85:36:44:DC,,4.36.0.26(fe36bbcb),1.02105E+11,4480,3840x2160,6,12
Byng Campus West NVR (202),"ISD Ext NE, view 2 (202.40)",10.10.202.40,24C-H4A-3MH-180,00:18:85:36:44:DC,,4.36.0.26(fe36bbcb),1.02105E+11,9936,3840x2160,6,12
Byng Campus West NVR (202),"ISD Ext NE, view 1 (202.40)",10.10.202.40,24C-H4A-3MH-180,00:18:85:36:44:DC,,4.36.0.26(fe36bbcb),1.02105E+11,5744,3840x2160,6,12
Byng Campus West NVR (202),ISD Ext NW (202.41) (3 views),10.10.202.41,24C-H4A-3MH-270,00:18:85:36:40:68,,4.36.0.26(fe36bbcb),1.02105E+11,,,,
Byng Campus West NVR (202),"ISD Ext NW, view 3 (202.41)",10.10.202.41,24C-H4A-3MH-270,00:18:85:36:40:68,,4.36.0.26(fe36bbcb),1.02105E+11,11176,3840x2160,6,12
Byng Campus West NVR (202),"ISD Ext NW, view 1 (202.41)",10.10.202.41,24C-H4A-3MH-270,00:18:85:36:40:68,,4.36.0.26(fe36bbcb),1.02105E+11,7656,3840x2160,6,12
Byng Campus West NVR (202),"ISD Ext NW, view 2 (202.41)",10.10.202.41,24C-H4A-3MH-270,00:18:85:36:40:68,,4.36.0.26(fe36bbcb),1.02105E+11,6568,3840x2160,6,12
Byng Campus West NVR (202),ISD Ext S (202.42) (3 views),10.10.202.42,24C-H4A-3MH-270,00:18:85:36:25:5E,,4.36.0.26(fe36bbcb),1.02104E+11,,,,
Byng Campus West NVR (202),"ISD Ext S, view 1 (202.42)",10.10.202.42,24C-H4A-3MH-270,00:18:85:36:25:5E,,4.36.0.26(fe36bbcb),1.02104E+11,7488,3840x2160,6,12
Byng Campus West NVR (202),"ISD Ext S, view 3 (202.42)",10.10.202.42,24C-H4A-3MH-270,00:18:85:36:25:5E,,4.36.0.26(fe36bbcb),1.02104E+11,10096,3840x2160,6,12
Byng Campus West NVR (202),"ISD Ext S, view 2 (202.42)",10.10.202.42,24C-H4A-3MH-270,00:18:85:36:25:5E,,4.36.0.26(fe36bbcb),1.02104E+11,6952,3840x2160,6,12
Byng Campus West NVR (202),ISD Ext Under Awning (202.42) (3 views),10.10.202.43,24C-H4A-3MH-180,00:18:85:36:44:C0,,4.36.0.26(fe36bbcb),1.02105E+11,,,,
Byng Campus West NVR (202),"ISD Ext Under Awning, view 1 (202.42)",10.10.202.43,24C-H4A-3MH-180,00:18:85:36:44:C0,,4.36.0.26(fe36bbcb),1.02105E+11,7416,3840x2160,6,12
Byng Campus West NVR (202),"ISD Ext Under Awning, view 2 (202.42)",10.10.202.43,24C-H4A-3MH-180,00:18:85:36:44:C0,,4.36.0.26(fe36bbcb),1.02105E+11,9736,3840x2160,6,12
Byng Campus West NVR (202),"ISD Ext Under Awning, view 3 (202.42)",10.10.202.43,24C-H4A-3MH-180,00:18:85:36:44:C0,,4.36.0.26(fe36bbcb),1.02105E+11,5296,3840x2160,6,12
Byng Campus West NVR (202),ISD Classroom (202.44),10.10.202.44,3.0C-H4M-D1-IR,00:18:85:2D:FC:ED,,4.14.0.116(34384),1.12003E+11,1808,2048x1536,6,10
Byng Campus West NVR (202),Sports Complex Foyer (202.50),10.10.202.50,4.0C-H5A-D1-IR,00:18:85:33:1D:5F,,4.86.0.20(7a7d6563),1.12011E+11,2456,2560x1440,6,10
Byng Campus West NVR (202),Sports Complex Ext NW (202.51) (3 views),10.10.202.51,24C-H4A-3MH-270,00:18:85:36:40:59,,4.36.0.26(fe36bbcb),1.02105E+11,,,,
